2023-05-13 05:37:44,236 INFO    Thread-25 :45988 [wandb_setup.py:_flush():68] Configure stats pid to 45988
2023-05-13 05:37:44,237 INFO    Thread-25 :45988 [wandb_setup.py:_flush():68] Loading settings from C:\Users\palas\.config\wandb\settings
2023-05-13 05:37:44,237 INFO    Thread-25 :45988 [wandb_setup.py:_flush():68] Loading settings from c:\Users\palas\Desktop\IOT\cs6910_assignment3\wandb\settings
2023-05-13 05:37:44,237 INFO    Thread-25 :45988 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'project': 'seq2seq_runs_2', 'entity': 'nihil666', 'root_dir': 'c:\\Users\\palas\\Desktop\\IOT\\cs6910_assignment3', 'run_id': '7d48yei1', 'sweep_param_path': 'c:\\Users\\palas\\Desktop\\IOT\\cs6910_assignment3\\wandb\\sweep-xuq1zik5\\config-7d48yei1.yaml', 'sweep_id': 'xuq1zik5'}
2023-05-13 05:37:44,237 INFO    Thread-25 :45988 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-05-13 05:37:44,238 INFO    Thread-25 :45988 [wandb_init.py:_log_setup():492] Logging user logs to c:\Users\palas\Desktop\IOT\cs6910_assignment3\wandb\run-20230513_053744-7d48yei1\logs\debug.log
2023-05-13 05:37:44,238 INFO    Thread-25 :45988 [wandb_init.py:_log_setup():493] Logging internal logs to c:\Users\palas\Desktop\IOT\cs6910_assignment3\wandb\run-20230513_053744-7d48yei1\logs\debug-internal.log
2023-05-13 05:37:44,238 INFO    Thread-25 :45988 [wandb_init.py:_jupyter_setup():438] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001DC08A01130>
2023-05-13 05:37:44,238 INFO    Thread-25 :45988 [wandb_init.py:init():532] calling init triggers
2023-05-13 05:37:44,238 INFO    Thread-25 :45988 [wandb_init.py:init():538] wandb.init called with sweep_config: {'batch_size': 64, 'bidirectional': 1, 'cell_type_decoder': 'RNN', 'cell_type_encoder': 'GRU', 'dropout': 0.3, 'hidden_layer_size': 64, 'input_embedding_size': 256, 'num_decoder_layers': 3, 'num_encoder_layers': 3, 'teacher_forcing': 1}
config: {}
2023-05-13 05:37:44,239 INFO    Thread-25 :45988 [wandb_init.py:init():588] starting backend
2023-05-13 05:37:44,239 INFO    Thread-25 :45988 [wandb_init.py:init():592] setting up manager
2023-05-13 05:37:44,244 INFO    Thread-25 :45988 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-05-13 05:37:44,244 INFO    Thread-25 :45988 [wandb_init.py:init():599] backend started and connected
2023-05-13 05:37:44,263 INFO    Thread-25 :45988 [wandb_run.py:_config_callback():1250] config_cb None None {'batch_size': 64, 'bidirectional': 1, 'cell_type_decoder': 'RNN', 'cell_type_encoder': 'GRU', 'dropout': 0.3, 'hidden_layer_size': 64, 'input_embedding_size': 256, 'num_decoder_layers': 3, 'num_encoder_layers': 3, 'teacher_forcing': 1}
2023-05-13 05:37:44,264 INFO    Thread-25 :45988 [wandb_run.py:_label_probe_notebook():1203] probe notebook
2023-05-13 05:37:44,264 INFO    Thread-25 :45988 [wandb_run.py:_label_probe_notebook():1213] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-05-13 05:37:44,264 INFO    Thread-25 :45988 [wandb_init.py:init():687] updated telemetry
2023-05-13 05:37:44,321 INFO    Thread-25 :45988 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-05-13 05:37:45,012 INFO    Thread-25 :45988 [wandb_run.py:_on_init():2134] communicating current version
2023-05-13 05:37:45,316 INFO    Thread-25 :45988 [wandb_run.py:_on_init():2143] got version response upgrade_message: "wandb version 0.15.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-05-13 05:37:45,316 INFO    Thread-25 :45988 [wandb_init.py:init():775] starting run threads in backend
2023-05-13 05:37:45,524 INFO    Thread-25 :45988 [wandb_run.py:_console_start():2114] atexit reg
2023-05-13 05:37:45,525 INFO    Thread-25 :45988 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-05-13 05:37:45,525 INFO    Thread-25 :45988 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-05-13 05:37:45,525 INFO    Thread-25 :45988 [wandb_run.py:_redirect():2059] Redirects installed.
2023-05-13 05:37:45,525 INFO    Thread-25 :45988 [wandb_init.py:init():817] run started, returning control to user process
2023-05-13 06:06:09,996 INFO    Thread-25 :45988 [wandb_run.py:_finish():1854] finishing run nihil666/seq2seq_runs_2/7d48yei1
2023-05-13 06:06:09,997 INFO    Thread-25 :45988 [jupyter.py:save_history():449] not saving jupyter history
2023-05-13 06:06:09,997 INFO    Thread-25 :45988 [jupyter.py:save_ipynb():379] not saving jupyter notebook
2023-05-13 06:06:09,997 INFO    Thread-25 :45988 [wandb_init.py:_jupyter_teardown():420] cleaning up jupyter logic
2023-05-13 06:06:09,997 INFO    Thread-25 :45988 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-05-13 06:06:09,997 INFO    Thread-25 :45988 [wandb_run.py:_restore():2066] restore
2023-05-13 06:06:09,997 INFO    Thread-25 :45988 [wandb_run.py:_restore():2072] restore done
2023-05-13 06:06:14,974 INFO    Thread-25 :45988 [wandb_run.py:_footer_history_summary_info():3442] rendering history
2023-05-13 06:06:14,974 INFO    Thread-25 :45988 [wandb_run.py:_footer_history_summary_info():3474] rendering summary
2023-05-13 06:06:14,981 INFO    Thread-25 :45988 [wandb_run.py:_footer_sync_info():3398] logging synced files
